tipo_registro;chave;nome;cnpj;fechamentos;receita_total;receita_repetida;primeiro_ganho;ultimo_ganho;tipos
organizacao_fechamentos;784;Edificio Le Parc;;2;115800.00;;2025-02;2026-02;"LSPDA, LDC - Laudo de disponibilidade de carga"
organizacao_fechamentos;1176;Edf Reserva do Poço;11419309000137;3;105000.00;;2025-10;2026-03;"LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular, OBRA, PROJETOS, PIE - Projeto infra.  Eletrocalha e Emergência"
organizacao_fechamentos;1175;Edf Madalena Colonial;10383770000114;2;53300.00;;2025-10;2026-04;"LDC - Laudo de disponibilidade de carga, CDM"
organizacao_fechamentos;667;Cond. Montendre;;2;51249.29;;2025-04;2025-12;"LIE - Laudo de Instalações Elétricas, PROJETOS, LSPDA, OBRA"
organizacao_fechamentos;817;Verano ADM;;2;50531.72;;2026-01;2026-01;"PIE - Projeto infra.  Eletrocalha e Emergência, OBRA, Instalação de Carregador Eletrico"
organizacao_fechamentos;687;Edf Samsara;10395888000162;3;37500.00;;2025-09;2026-01;"LDC - Laudo de disponibilidade de carga, OBRA, PIE - Projeto infra.  Eletrocalha e Emergência"
organizacao_fechamentos;1078;Edf Terra Brasilis;04239390000108;4;37100.00;;2025-08;2026-03;"LDC - Laudo de disponibilidade de carga, PIE - Projeto infra.  Eletrocalha e Emergência, OBRA, ICV - Inspeção de carregador veicular"
organizacao_fechamentos;13;Enseada do Mar;14006221000181;3;35000.00;;2025-02;2026-04;"PIE - Projeto infra.  Eletrocalha e Emergência, PROJETOS, OBRA, Obras eletricas"
organizacao_fechamentos;1126;Paraíso Eco Resort Campina Grande;;1;31350.00;;2025-10;2025-10;LDC - Laudo de disponibilidade de carga
organizacao_fechamentos;967;Edf Luar das Ubaias;11467141000135;2;30860.00;;2025-05;2025-12;"LDC - Laudo de disponibilidade de carga, PIE - Projeto infra.  Eletrocalha e Emergência, Obras eletricas"
organizacao_fechamentos;1135;Edf Castelo de Blois;;2;25800.00;;2025-09;2026-01;"LIE - Laudo de Instalações Elétricas, OBRA"
organizacao_fechamentos;1252;Edf Quinta Tereza Beltrão;15066354000106;2;25360.00;;2025-11;2026-03;"LDC - Laudo de disponibilidade de carga, OBRA, CDM"
organizacao_fechamentos;1217;Edf Cristiano;;2;24500.00;;2025-10;2025-10;"PIE - Projeto infra.  Eletrocalha e Emergência, OBRA"
organizacao_fechamentos;1019;Edf Maria Carolina;;2;24440.00;;2025-06;2025-12;"LIE - Laudo de Instalações Elétricas, Obras eletricas"
organizacao_fechamentos;965;Edf Morada Rosarinho;11236467000151;3;22750.00;;2025-05;2026-02;"LDC - Laudo de disponibilidade de carga, LIE - Laudo de Instalações Elétricas, PROJETOS, OBRA"
organizacao_fechamentos;1081;Edf Quinta do Algarve;10528059000100;2;21800.00;;2025-09;2026-01;"LDC - Laudo de disponibilidade de carga, OBRA"
organizacao_fechamentos;649;Cond. João Heráclio;11419309000137;2;21200.00;;2025-02;2026-01;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular, PIE - Projeto infra.  Eletrocalha e Emergência"
organizacao_fechamentos;1436;EDIFICIOS MARIA JULIA E MARIA DA GRACA;10262128000187;1;19500.00;;2026-05;2026-05;"LIE - Laudo de Instalações Elétricas, LCC - Laudo Carregador Coletivo, PIE - Projeto infra.  Eletrocalha e Emergência"
organizacao_fechamentos;1277;Edf Cid Sampaio;;1;19000.00;;2025-12;2025-12;OBRA
organizacao_fechamentos;1336;Condomínio Jardins da Ilha;;1;18000.00;;2026-04;2026-04;LDC - Laudo de disponibilidade de carga
organizacao_fechamentos;1003;Postos Pichilau - caruaru;;1;17500.00;;2025-06;2025-06;PROJETOS
organizacao_fechamentos;738;Edf Manoella Vilaça;;1;16493.98;;2025-09;2025-09;OBRA
organizacao_fechamentos;1398;Condomínio Carmen Costa;;2;16200.00;;2026-04;2026-06;"LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular"
organizacao_fechamentos;957;Edf Praia de Japaratinga;;2;16040.00;;2025-06;2025-07;"LIE - Laudo de Instalações Elétricas, OBRA"
organizacao_fechamentos;952;Edf Praia de Imbituba;08588516000100;1;16000.00;;2025-07;2025-07;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular"
organizacao_fechamentos;1046;Edf Turmalina;04113342000179;2;16000.00;;2025-08;2026-04;"LDC - Laudo de disponibilidade de carga, PROJETOS"
organizacao_fechamentos;1100;Edf Sobrado do Capibaribe;35466861000144;2;16000.00;;2025-11;2026-03;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga, PROJETOS"
organizacao_fechamentos;1241;Edf Sitio Beira Rio;;1;15000.00;;2026-03;2026-03;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga"
organizacao_fechamentos;1268;Câmara de Vereadores de Recife;;1;14450.00;;2026-01;2026-01;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga"
organizacao_fechamentos;935;Edf Duas Naçoes;;1;14000.00;;2025-05;2025-05;PROJETOS
organizacao_fechamentos;1066;Edf Piedade Prince;03346750000108;1;14000.00;;2025-10;2025-10;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular"
organizacao_fechamentos;1468;Jardim do Mar;;1;14000.00;;2026-05;2026-05;"LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular"
organizacao_fechamentos;495;Cond. Solar das Palmeiras;01605246000150;1;13500.00;;2025-05;2025-05;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga"
organizacao_fechamentos;1082;Edf Luis dias lins;13537008000133;2;13500.00;;2025-08;2025-09;"LDC - Laudo de disponibilidade de carga, PIE - Projeto infra.  Eletrocalha e Emergência"
organizacao_fechamentos;647;Cond. Melo Barbosa;09316238000103;1;13500.00;;2026-02;2026-02;OBRA
organizacao_fechamentos;1290;Condominio do Edificio Lucilo Maranhao;17570372000156;2;13500.00;;2026-03;2026-05;"LDC - Laudo de disponibilidade de carga, PIE - Projeto infra.  Eletrocalha e Emergência"
