month;type;dealId;dealTitle;organization;value;labels;isMultiBusinessType
2025-06;LDC - Laudo de disponibilidade de carga;423;Negócio Cond Saint Eduardo;Cond Saint Eduardo;7000;LDC - Laudo de disponibilidade de carga;false
2025-05;LDC - Laudo de disponibilidade de carga;505;Negócio Cond. Solar das Palmeiras;Cond. Solar das Palmeiras;13500;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga";true
2026-02;PIE - Projeto infra.  Eletrocalha e Emergência;625;Negócio Edf. Aderbal Jurema;Edf. Aderbal Jurema;8415;"PROJETOS, PIE - Projeto infra.  Eletrocalha e Emergência";true
2025-02;LDC - Laudo de disponibilidade de carga;662;Negócio Cond. João Heráclio;Cond. João Heráclio;16200;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular";true
2025-12;Laudos e consultoria condominial;665;Negócio Edf Villa Casa Forte;Edf Villa Casa Forte;5000;Laudos e consultoria condominial;false
2025-07;LDC - Laudo de disponibilidade de carga;667;Negócio Edf Tignanello;Edf Tignanelo;5500;LDC - Laudo de disponibilidade de carga;false
2025-07;LDC - Laudo de disponibilidade de carga;669;Negócio Edf Carla Dias;Edf Carla Dias;5000;LDC - Laudo de disponibilidade de carga;false
2025-09;LDC - Laudo de disponibilidade de carga;673;Negócio Jardins do Capibaribe;Jardins do Capibaribe;9900;LDC - Laudo de disponibilidade de carga;false
2025-04;LIE - Laudo de Instalações Elétricas;681;Negócio Cond. Montendre;Cond. Montendre;17600;"LIE - Laudo de Instalações Elétricas, PROJETOS, LSPDA";true
2025-08;LDC - Laudo de disponibilidade de carga;682;Negócio Cond. The Plaza;Cond. The Plaza;10000;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga";true
2026-01;LDC - Laudo de disponibilidade de carga;685;Negócio Edf. Ara Pacis;Edf. Ara Pacis;13000;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga";true
2025-09;LDC - Laudo de disponibilidade de carga;692;Negócio Hilson Macedo;Hilson Macedo;10600;"LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular";true
2025-09;LDC - Laudo de disponibilidade de carga;699;Negócio Edf Samsara;Edf Samsara;5000;LDC - Laudo de disponibilidade de carga;false
2025-02;LSPDA;745;Le Parc;Edificio Le Parc;13800;LSPDA;false
2026-03;LDC - Laudo de disponibilidade de carga;752;Negócio Cond. Hilson de Azevedo Mota;Cond. Hilson de Azevedo Mota;9000;LDC - Laudo de disponibilidade de carga;false
2025-04;PIE - Projeto infra.  Eletrocalha e Emergência;770;Negócio Edf. Maria João;Pe no condominio;9500;PIE - Projeto infra.  Eletrocalha e Emergência;false
2025-01;LIE - Laudo de Instalações Elétricas;791;Negócio Ed. Rio Araguaia;Ed. Rio Araguaia;5000;LIE - Laudo de Instalações Elétricas;false
2025-01;LDC - Laudo de disponibilidade de carga;793;Negócio Edf Solar das Acácios;Edf Solar das Acácios;5700;LDC - Laudo de disponibilidade de carga;false
2025-04;LDC - Laudo de disponibilidade de carga;799;Negócio Edf Praça do Mar;Edf Praça do Mar;6000;LDC - Laudo de disponibilidade de carga;false
2025-01;LDC - Laudo de disponibilidade de carga;804;Negócio Maison Monet;Maison Monet;7700;LDC - Laudo de disponibilidade de carga;false
2025-05;LDC - Laudo de disponibilidade de carga;819;Negócio Edf Guimarães Rosa;Edf Guimarães Rosa;4000;LDC - Laudo de disponibilidade de carga;false
2025-05;LDC - Laudo de disponibilidade de carga;822;Negócio Edf Quebra Mar;Edf Quebra Mar;7000;LDC - Laudo de disponibilidade de carga;false
2026-02;PIE - Projeto infra.  Eletrocalha e Emergência;823;Negócio Verano ADM;Verano ADM;7500;PIE - Projeto infra.  Eletrocalha e Emergência;false
2025-06;LDC - Laudo de disponibilidade de carga;826;Negócio Edf Margarida Renda Colonial;Edf Margarida Renda Colonial;6000;LDC - Laudo de disponibilidade de carga;false
2025-12;Laudos e consultoria condominial;868;Negócio Edf Giulia Priori;Edf Giulia Priori;7800;Laudos e consultoria condominial;false
2025-07;PROJETOS;937;Negócio Edf Delmar;Edf Delmar;4500;PROJETOS;false
2025-05;PROJETOS;944;Negócio Edf Duas Naçoes;Edf Duas Naçoes;14000;PROJETOS;false
2026-05;LDC - Laudo de disponibilidade de carga;946;Negócio Edf Santorini;Edf Santorini;13000;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga";true
2025-05;LDC - Laudo de disponibilidade de carga;952;Negócio Edf Praia de Grauna;Edf Praia de Grauna;9500;LDC - Laudo de disponibilidade de carga;false
2025-04;LDC - Laudo de disponibilidade de carga;955;Edf. Maria Teresa Coelho;;17900;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular";true
2025-07;LDC - Laudo de disponibilidade de carga;959;Negócio Edf Praia de Imbituba;Edf Praia de Imbituba;16000;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular";true
2025-07;LDC - Laudo de disponibilidade de carga;962;Negócio Edf Splendid Rosarinho;Edf Splendid Rosarinho;6700;LDC - Laudo de disponibilidade de carga;false
2025-06;LIE - Laudo de Instalações Elétricas;963;Negócio Edf Praia de Japaratinga;Edf Praia de Japaratinga;5500;LIE - Laudo de Instalações Elétricas;false
2025-05;LDC - Laudo de disponibilidade de carga;971;Negócio Edf Morada Rosarinho;Edf Morada Rosarinho;5000;LDC - Laudo de disponibilidade de carga;false
2025-04;OBRA;973;Negócio Enseada do Mar;Enseada do Mar;21000;OBRA;false
2025-04;PIE - Projeto infra.  Eletrocalha e Emergência;974;Negócio Edf Brunello Di Montalcino;Edf Brunello Di Montalcino;3800;PIE - Projeto infra.  Eletrocalha e Emergência;false
2025-05;PIE - Projeto infra.  Eletrocalha e Emergência;975;Edf Luar das Ubaias negócio;Edf Luar das Ubaias;11160;"LDC - Laudo de disponibilidade de carga, PIE - Projeto infra.  Eletrocalha e Emergência";true
2025-02;PIE - Projeto infra.  Eletrocalha e Emergência;1005;Negócio Enseada do Mar;Enseada do Mar;7500;"PIE - Projeto infra.  Eletrocalha e Emergência, PROJETOS";true
2025-03;PROJETOS;1006;Negócio Rio Ave;Rio Ave;10500;PROJETOS;false
2025-06;PROJETOS;1007;Negócio Postos Pichilau - caruaru;Postos Pichilau - caruaru;17500;PROJETOS;false
2025-06;PROJETOS;1008;Negócio Pichilaue Abasteça;Pichilau Vila Esperança;5500;PROJETOS;false
2025-06;PROJETOS;1009;Negócio Pichilau Abasteça;Pichilau Vila Esperança;3500;PROJETOS;false
2025-06;PROJETOS;1021;Negócio Ed Portal do Capibaribe;Ed Portal do Capibaribe;5000;PROJETOS;false
2025-06;LDC - Laudo de disponibilidade de carga;1022;Negócio Edf Ilha do Retiro;Edf Ilha do Retiro;4000;LDC - Laudo de disponibilidade de carga;false
2025-07;LDC - Laudo de disponibilidade de carga;1023;Negócio Edf Hockenheim;Edf Hockeneim;5000;LDC - Laudo de disponibilidade de carga;false
2025-06;LIE - Laudo de Instalações Elétricas;1025;Edf Maria Carolina negócio;Edf Maria Carolina;5000;LIE - Laudo de Instalações Elétricas;false
2025-08;LDC - Laudo de disponibilidade de carga;1030;Negócio Edf Sirius e Antares;condomínio Residencial Estrela;8300;LDC - Laudo de disponibilidade de carga;false
2025-06;LDC - Laudo de disponibilidade de carga;1031;Negócio Edf Boa Viagem;Edf Boa Viagem;8000;LDC - Laudo de disponibilidade de carga;false
2025-06;LDC - Laudo de disponibilidade de carga;1035;Negócio Edf Villa das Pedras;Edf Villa das Pedras;5000;LDC - Laudo de disponibilidade de carga;false
2025-08;LDC - Laudo de disponibilidade de carga;1036;Edf Principe de Toscana;Edificio Principe de Toscana;4000;LDC - Laudo de disponibilidade de carga;false
2025-10;LIE - Laudo de Instalações Elétricas;1040;Negócio Edf Morada dos Agapanthus;Edf Morada dos Agapanthus;4500;LIE - Laudo de Instalações Elétricas;false
2025-08;LIE - Laudo de Instalações Elétricas;1043;Negócio Edf Morada Rosarinho;Edf Morada Rosarinho;11500;"LIE - Laudo de Instalações Elétricas, PROJETOS";true
2025-08;LDC - Laudo de disponibilidade de carga;1052;Negócio Edf Turmalina;Edf Turmalina;8000;LDC - Laudo de disponibilidade de carga;false
2025-11;LDC - Laudo de disponibilidade de carga;1055;Negócio Edf Walter Turton;Edf Walter Turton;6000;LDC - Laudo de disponibilidade de carga;false
2025-11;LDC - Laudo de disponibilidade de carga;1062;Negócio Cond Casa da Montanha;Cond Casa da Montanha;10200;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga";true
2025-08;LDC - Laudo de disponibilidade de carga;1071;Edf Terra Brasilis;Edf Terra Brasilis;17000;LDC - Laudo de disponibilidade de carga;false
2025-07;LDC - Laudo de disponibilidade de carga;1073;Negócio Edf Morada Ilha Verde;Edf Morada Ilha Verde;8000;LDC - Laudo de disponibilidade de carga;false
