month;scope;type;wonDeals;revenue;averageTicket
2025-01;consultoria;LDC - Laudo de disponibilidade de carga;2;13400;6700
2025-01;consultoria;LIE - Laudo de Instalações Elétricas;1;5000;5000
2025-02;consultoria;LSPDA;1;13800;13800
2025-02;consultoria;LIE - Laudo de Instalações Elétricas;1;5400;5400
2025-02;consultoria;LDC - Laudo de disponibilidade de carga;1;5400;5400
2025-02;consultoria;ICV - Inspeção de carregador veicular;1;5400;5400
2025-02;consultoria;PIE - Projeto infra.  Eletrocalha e Emergência;1;3750;3750
2025-02;consultoria;PROJETOS;1;3750;3750
2025-03;consultoria;PROJETOS;1;10500;10500
2025-04;consultoria;PIE - Projeto infra.  Eletrocalha e Emergência;2;13300;6650
2025-04;consultoria;LDC - Laudo de disponibilidade de carga;2;11966.666666666668;5983.333333333334
2025-04;consultoria;LIE - Laudo de Instalações Elétricas;2;11833.333333333334;5916.666666666667
2025-04;consultoria;ICV - Inspeção de carregador veicular;1;5966.666666666667;5966.666666666667
2025-04;consultoria;PROJETOS;1;5866.666666666667;5866.666666666667
2025-04;consultoria;LSPDA;1;5866.666666666667;5866.666666666667
2025-04;obras;OBRA;1;21000;21000
2025-05;consultoria;LDC - Laudo de disponibilidade de carga;6;37830;6305
2025-05;consultoria;PROJETOS;1;14000;14000
2025-05;consultoria;LIE - Laudo de Instalações Elétricas;1;6750;6750
2025-05;consultoria;PIE - Projeto infra.  Eletrocalha e Emergência;1;5580;5580
2025-06;consultoria;LDC - Laudo de disponibilidade de carga;6;35000;5833.333333333333
2025-06;consultoria;PROJETOS;4;31500;7875
2025-06;consultoria;LIE - Laudo de Instalações Elétricas;2;10500;5250
2025-07;consultoria;LDC - Laudo de disponibilidade de carga;7;41533.33333333333;5933.333333333333
2025-07;consultoria;LIE - Laudo de Instalações Elétricas;2;7733.333333333333;3866.6666666666665
2025-07;consultoria;ICV - Inspeção de carregador veicular;1;5333.333333333333;5333.333333333333
2025-07;consultoria;PROJETOS;1;4500;4500
2025-07;obras;OBRA;1;10540;10540
2025-08;consultoria;LDC - Laudo de disponibilidade de carga;10;75250;7525
2025-08;consultoria;LIE - Laudo de Instalações Elétricas;3;16000;5333.333333333333
2025-08;consultoria;PROJETOS;2;11050;5525
2025-08;consultoria;ICV - Inspeção de carregador veicular;2;2900;1450
2025-09;consultoria;LDC - Laudo de disponibilidade de carga;6;40020;6670
2025-09;consultoria;LIE - Laudo de Instalações Elétricas;2;11500;5750
2025-09;consultoria;ICV - Inspeção de carregador veicular;1;5300;5300
2025-09;consultoria;PROJETOS;1;5000;5000
2025-09;consultoria;PIE - Projeto infra.  Eletrocalha e Emergência;1;4000;4000
2025-09;obras;OBRA;1;16493.98;16493.98
2025-10;consultoria;LDC - Laudo de disponibilidade de carga;6;60516.66666666667;10086.111111111111
2025-10;consultoria;LIE - Laudo de Instalações Elétricas;3;15966.666666666668;5322.222222222223
2025-10;consultoria;ICV - Inspeção de carregador veicular;2;11166.666666666668;5583.333333333334
2025-10;consultoria;PIE - Projeto infra.  Eletrocalha e Emergência;1;4500;4500
2025-10;obras;OBRA;1;20000;20000
2025-11;consultoria;LDC - Laudo de disponibilidade de carga;8;49160;6145
2025-11;consultoria;LIE - Laudo de Instalações Elétricas;6;31600;5266.666666666667
2025-11;consultoria;PIE - Projeto infra.  Eletrocalha e Emergência;1;9000;9000
2025-11;obras;OBRA;1;9700;9700
2025-12;consultoria;LDC - Laudo de disponibilidade de carga;3;19300;6433.333333333333
2025-12;consultoria;LIE - Laudo de Instalações Elétricas;2;11400;5700
2025-12;consultoria;Laudos e consultoria condominial;1;7800;7800
2025-12;consultoria;PROJETOS;1;5000;5000
2025-12;consultoria;ICV - Inspeção de carregador veicular;1;3000;3000
2025-12;obras;OBRA;2;52649.29;26324.645
2025-12;obras;Obras eletricas;2;39140;19570
2026-01;consultoria;LIE - Laudo de Instalações Elétricas;5;27900;5580
2026-01;consultoria;LDC - Laudo de disponibilidade de carga;4;21400;5350
2026-01;consultoria;PIE - Projeto infra.  Eletrocalha e Emergência;3;17000;5666.666666666667
2026-01;consultoria;PROJETOS;1;6000;6000
2026-01;obras;OBRA;4;86315.86;21578.965
2026-01;obras;Instalação de Carregador Eletrico;1;21515.86;21515.86
2026-02;consultoria;LDC - Laudo de disponibilidade de carga;8;146500;18312.5
2026-02;consultoria;LIE - Laudo de Instalações Elétricas;3;19000;6333.333333333333
2026-02;consultoria;PROJETOS;1;4207.5;4207.5
2026-02;consultoria;PIE - Projeto infra.  Eletrocalha e Emergência;1;4207.5;4207.5
2026-02;obras;OBRA;3;24250;8083.333333333333
2026-03;consultoria;LDC - Laudo de disponibilidade de carga;9;57666.66666666667;6407.407407407408
2026-03;consultoria;LIE - Laudo de Instalações Elétricas;5;22666.666666666668;4533.333333333334
2026-03;consultoria;PIE - Projeto infra.  Eletrocalha e Emergência;4;17250;4312.5
2026-03;consultoria;PROJETOS;3;16000;5333.333333333333
2026-03;consultoria;ICV - Inspeção de carregador veicular;1;4166.666666666667;4166.666666666667
2026-03;consultoria;LGR - Laudo de Gerenciamento de Risco;1;2000;2000
2026-03;obras;OBRA;2;101300;50650
