month;type;wonDeals;revenue;averageTicket;revenueMoMPct;dealsMoMPct;revenueYoYPct;dealsYoYPct
2025-01;LDC - Laudo de disponibilidade de carga;2;13400;6700;;;;
2025-01;LIE - Laudo de Instalações Elétricas;1;5000;5000;;;;
2025-02;LIE - Laudo de Instalações Elétricas;1;16200;16200;224.00000000000003;0;;
2025-02;LDC - Laudo de disponibilidade de carga;1;16200;16200;20.8955223880597;-50;;
2025-02;ICV - Inspeção de carregador veicular;1;16200;16200;;;;
2025-02;LSPDA;1;13800;13800;;;;
2025-02;PIE - Projeto infra.  Eletrocalha e Emergência;1;7500;7500;;;;
2025-02;PROJETOS;1;7500;7500;;;;
2025-03;PROJETOS;1;10500;10500;40;0;;
2025-04;LIE - Laudo de Instalações Elétricas;2;35500;17750;;;;
2025-04;LDC - Laudo de disponibilidade de carga;2;23900;11950;;;;
2025-04;OBRA;1;21000;21000;;;;
2025-04;ICV - Inspeção de carregador veicular;1;17900;17900;;;;
2025-04;PROJETOS;1;17600;17600;67.61904761904762;0;;
2025-04;LSPDA;1;17600;17600;;;;
2025-04;PIE - Projeto infra.  Eletrocalha e Emergência;2;13300;6650;;;;
2025-05;LDC - Laudo de disponibilidade de carga;6;50160;8360;109.87447698744771;200;;
2025-05;PROJETOS;1;14000;14000;-20.454545454545457;0;;
2025-05;LIE - Laudo de Instalações Elétricas;1;13500;13500;-61.97183098591549;-50;;
2025-05;PIE - Projeto infra.  Eletrocalha e Emergência;1;11160;11160;-16.090225563909772;-50;;
2025-06;PROJETOS;4;31500;7875;125;300;;
2025-06;LDC - Laudo de disponibilidade de carga;5;30000;6000;-40.19138755980861;-16.666666666666664;;
2025-06;LIE - Laudo de Instalações Elétricas;2;10500;5250;-22.22222222222222;100;;
2025-07;LDC - Laudo de disponibilidade de carga;8;57200;7150;90.66666666666666;60;;
2025-07;LIE - Laudo de Instalações Elétricas;2;18400;9200;75.23809523809524;0;;
2025-07;ICV - Inspeção de carregador veicular;1;16000;16000;;;;
2025-07;OBRA;1;10540;10540;;;;
2025-07;PROJETOS;1;4500;4500;-85.71428571428571;-75;;
2025-08;LDC - Laudo de disponibilidade de carga;10;85500;8550;49.47552447552447;25;;
2025-08;LIE - Laudo de Instalações Elétricas;3;32000;10666.666666666666;73.91304347826086;50;;
2025-08;PROJETOS;2;16800;8400;273.3333333333333;100;;
2025-08;ICV - Inspeção de carregador veicular;2;2900;1450;-81.875;100;;
2025-09;LDC - Laudo de disponibilidade de carga;6;45320;7553.333333333333;-46.994152046783626;-40;;
2025-09;OBRA;1;16493.98;16493.98;;;;
2025-09;LIE - Laudo de Instalações Elétricas;2;11500;5750;-64.0625;-33.33333333333333;;
