id;name;status;createdMonth;closedMonth;dueMonth;list;folder;space;url
86abt77g4;Condominio do Edificio Castelo de Blois | LDE;assembleia;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86abt77g4
86ac5jxt2;Condomínio do Edifício Luar da Praia | LDC + PE;finalizado;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86ac5jxt2
86ac6fq7r;Condomínio do Edifício Samsara | LDC + PE;finalizado;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86ac6fq7r
86acrgyb8;Condomínio do Edifício Morada dos Agapanthus | LIE;assembleia;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86acrgyb8
86acrpcka;Condomínio do Edifício Walter Turton | LDC+PE+ICV;assembleia;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86acrpcka
86ad3q9p3;CASA DA MONTANHA | EDC+VT+PE;assembleia;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86ad3q9p3
86ad3qa10;CONDOMINIO DO CONJUNTO PORTINARI | LIE;finalizado;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86ad3qa10
86ad3qb36;Condominio do Edificio Nicolau II | EDC+PE;assembleia;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86ad3qb36
86ad3qbku;Condominio Do Edificio Mucambe | LDC+PE;assembleia;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86ad3qbku
86ad3qckq;Condominio do Edificio Porto dos Corais | LIE;assembleia;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86ad3qckq
86ad4zhck;Condomínio do Edifício Paraiso Eco Resort | LDC + PE;assembleia;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86ad4zhck
86ad4zk3w;Condomínio do Edifício Morada das Palmeiras | LIE + ICV;executando;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86ad4zk3w
86ad8jv1n;Condomínio do Edificio Maria Regina | LIE+EDC+PE;assembleia;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86ad8jv1n
86ad8jwhe;Condomínio do Edifício Piedade Prince | LDC + PE + LIE + ICV;finalizado;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86ad8jwhe
86ad93dj0;Condomínio do Edifício Reserva do Poço | LDC + PE + ICV;finalizado;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86ad93dj0
86adm6xbw;Condomínio do Edifício Sobrado do Capibaribe | LDE+PE+LIE+LGR;assembleia;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86adm6xbw
86adm95fx;Eletroposto - Geraldo Vieira e Cia LTDA | PE;arquivado;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86adm95fx
86adm9b91;Condomínio do Edifício Quinta Tereza Beltrão | LDC + PE;assembleia;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86adm9b91
86adm9rym;Condomínio do Edifício Maria Clarice | LIE;finalizado;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86adm9rym
86adu9k5w;Condomio do Edificio Portal do Parnamirim | LIE+EDC+PE;assembleia;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86adu9k5w
86adu9n6y;Condominio do Edificio Giulia Priori | EDC+PE;finalizado;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86adu9n6y
86adw7x1p;Condominio do Edificio Novo Jardim | EDC+PE;assembleia;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86adw7x1p
86ae1r1pb;Condominio do Edificio Villa Casa Forte | EDC+PE;finalizado;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86ae1r1pb
86ae1r2ex;Condominio do Edificio Carla Dias | PCM;executando;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86ae1r2ex
86ae9aufr;Condominio do Edificio Lajedo | LIE+SPDA;assembleia;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86ae9aufr
86aeerfcz;Eurofins - Watt |PrEl;finalizado;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86aeerfcz
86aeg2zey;Condomínio do Edifício Terra Brasilis | PrE;executando;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86aeg2zey
86aegthux;Condomínio do Edifício Cristiano | PrE;assembleia;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86aegthux
86aehxwyd;Condominio do Edificio Roraima | LIE;assembleia;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86aehxwyd
86aehxxfu;Condominio do Edificio Rio Siriji | LIE+SPDA+PE;assembleia;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86aehxxfu
86aem268x;CONDOMÍNIO DO EDIFÍCIO JOÃO HERACLIO | PIE;executando;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86aem268x
86aepfy45;Condominio do Edificio Cap. D'antibes | EDC+PE;assembleia;;;;Contratos;Clientes;Consultor.IA;https://app.clickup.com/t/86aepfy45
