month;createdDeals;createdValue;createdWonDeals;createdLostDeals;createdStillOpenDeals;cohortConversionPct;cohortLossPct;cohortPendingPct;matureCohortMinAgeDays;cohortAgeDays;isMatureCohort;matureConversionPct;closedConversionPct;closedDealsFromCohort;wonDeals;wonValue;lostDeals;lostValue;openBaseDealsEndOfMonth;openBaseValueEndOfMonth;averageWonTicket
2025-01;24;103500;4;15;5;16.666666666666664;62.5;20.833333333333336;45;517;true;16.666666666666664;21.052631578947366;19;3;18400;20;7000;396;892230.98;6133.333333333333
2025-02;110;110300;6;102;2;5.454545454545454;92.72727272727272;1.8181818181818181;45;489;true;5.454545454545454;5.555555555555555;108;3;37500;27;7000;477;965530.98;12500
2025-03;13;78600;2;9;2;15.384615384615385;69.23076923076923;15.384615384615385;45;458;true;15.384615384615385;18.181818181818183;11;1;10500;18;20500;472;1023630.98;10500
2025-04;28;245710;9;11;8;32.142857142857146;39.285714285714285;28.57142857142857;45;428;true;32.142857142857146;45;20;6;75800;39;21300;455;1172240.98;12633.333333333334
2025-05;28;160375;5;17;6;17.857142857142858;60.71428571428571;21.428571428571427;45;397;true;17.857142857142858;22.727272727272727;22;7;64160;61;57150;413;1193305.98;9165.714285714286
2025-06;22;150700;9;9;4;40.909090909090914;40.909090909090914;18.181818181818183;45;367;true;40.909090909090914;50;18;12;77000;20;80350;403;1186655.98;6416.666666666667
2025-07;49;298040;20;24;5;40.816326530612244;48.97959183673469;10.204081632653061;45;336;true;40.816326530612244;45.45454545454545;44;10;69640;30;90528;412;1324527.98;6964
2025-08;37;330713.98;11;20;6;29.72972972972973;54.054054054054056;16.216216216216218;45;305;true;29.72972972972973;35.483870967741936;31;14;105200;15;69950;420;1480091.96;7514.285714285715
2025-09;39;302420;14;21;4;35.8974358974359;53.84615384615385;10.256410256410255;45;275;true;35.8974358974359;40;35;11;82313.98;6;8000;442;1692197.98;7483.08909090909
2025-10;32;262939.29000000004;8;13;11;25;40.625;34.375;45;244;true;25;38.095238095238095;21;10;112150;18;88925;446;1754062.27;11215
2025-11;58;327910;8;17;33;13.793103448275861;29.310344827586203;56.896551724137936;45;214;true;13.793103448275861;32;25;13;99460;8;59900;483;1922612.27;7650.7692307692305
2025-12;27;200684.68;10;10;7;37.03703703703704;37.03703703703704;25.925925925925924;45;183;true;37.03703703703704;50;20;11;138289.29;6;66800;493;1918207.66;12571.753636363637
2026-01;59;795637.72;17;17;25;28.8135593220339;28.8135593220339;42.3728813559322;45;152;true;28.8135593220339;50;34;14;180131.72;20;256400;518;2277313.66;12866.551428571429
2026-02;59;479790;16;13;30;27.11864406779661;22.033898305084744;50.847457627118644;45;124;true;27.11864406779661;55.172413793103445;29;15;198165;17;137730;545;2421208.66;13211
2026-03;83;429600;11;27;45;13.253012048192772;32.53012048192771;54.21686746987952;45;93;true;13.253012048192772;28.947368421052634;38;19;222450;30;232720;579;2395638.66;11707.894736842105
2026-04;74;827950;11;18;45;14.864864864864865;24.324324324324326;60.810810810810814;45;63;true;14.864864864864865;37.93103448275862;29;15;155600;27;187300;611;2880688.66;10373.333333333334
2026-05;92;882205;9;7;76;9.782608695652174;7.608695652173914;82.6086956521739;45;32;false;;56.25;16;14;130800;22;199200;667;3432893.66;9342.857142857143
2026-06;93;723980;5;1;87;5.376344086021505;1.0752688172043012;93.54838709677419;45;2;false;;83.33333333333334;6;14;139490;38;441000;709;3584303.66;9963.57142857143
2026-07;7;7920;1;0;6;14.285714285714285;0;85.71428571428571;45;0;false;;100;1;0;0;0;0;715;3584303.66;0
