monthNumber;label;revenue2025;revenue2026;created2025;created2026;wonDeals2025;wonDeals2026;averageTicket2025;averageTicket2026;revenueMoM2025Pct;revenueMoM2026Pct;revenueYoYPct;createdYoYPct;wonDealsYoYPct
01;Jan;18400;180131.72;24;59;3;14;6133.333333333333;12866.551428571429;;30.25717320553167;878.9767391304348;145.83333333333331;366.66666666666663
02;Fev;37500;198165;110;59;3;15;12500;13211;103.80434782608697;10.011162942317988;428.44;-46.36363636363636;400
03;Mar;10500;222450;13;83;1;19;10500;11707.894736842105;-72;12.254939065929907;2018.5714285714287;538.4615384615385;1800
04;Abr;75800;155600;28;74;6;15;12633.333333333334;10373.333333333334;621.9047619047619;-30.051697010564173;105.27704485488127;164.28571428571428;150
05;Mai;64160;118300;28;92;7;13;9165.714285714286;9100;-15.356200527704486;-23.971722365038563;84.38279301745636;228.57142857142856;85.71428571428571
06;Jun;77000;20650;22;77;12;4;6416.666666666667;5162.5;20.012468827930174;-82.54437869822485;-73.18181818181819;250;-66.66666666666666
07;Jul;69640;;49;;10;;6964;;-9.55844155844156;;-100;-100;-100
08;Ago;105200;;37;;14;;7514.285714285715;;51.06260769672601;;-100;-100;-100
09;Set;82313.98;;39;;11;;7483.08909090909;;-21.754771863117874;;-100;-100;-100
10;Out;112150;;32;;10;;11215;;36.24660112413469;;-100;-100;-100
11;Nov;99460;;58;;13;;7650.7692307692305;;-11.315202853321445;;-100;-100;-100
12;Dez;138289.29;;27;;11;;12571.753636363637;;39.04010657550775;;-100;-100;-100
