month;createdDeals;wonDeals;wonRevenue;averageTicket;revenueGrowthPct
2025-01;24;3;18400;6133.333333333333;
2025-02;110;3;37500;12500;103.80434782608697
2025-03;12;1;10500;10500;-72
2025-04;29;6;75800;12633.333333333334;621.9047619047619
2025-05;28;7;64160;9165.714285714286;-15.356200527704486
2025-06;22;11;72000;6545.454545454545;12.219451371571072
2025-07;49;11;74640;6785.454545454545;3.6666666666666665
2025-08;37;14;105200;7514.285714285715;40.943193997856376
2025-09;38;11;82313.98;7483.08909090909;-21.754771863117874
2025-10;33;10;112150;11215;36.24660112413469
2025-11;57;13;99460;7650.7692307692305;-11.315202853321445
2025-12;28;11;138289.29;12571.753636363637;39.04010657550775
2026-01;59;12;129600;10800;-6.28341500632479
2026-02;59;17;248696.72;14629.218823529412;91.89561728395061
2026-03;82;17;210700;12394.117647058823;-15.278335797914828
2026-04;74;16;164650;10290.625;-21.855719031798763
2026-05;93;14;121000;8642.857142857143;-26.510780443364713
2026-06;77;4;20650;5162.5;-82.93388429752066
