dealId;dealTitle;status;pipeline;seller;wonMonth;productId;productCode;productName;inCurrentCatalog;quantity;itemPrice;discount;discountType;lineTotal;dealValue;currency;productAddedAt
36;Igual negócio;won;Rateio;JONILDO;2022-07;1;;Consultoria;false;1;120000;0;percentage;120000;180000;BRL;2022-07-08 20:03:28
36;Igual negócio;won;Rateio;JONILDO;2022-07;1;;Consultoria;false;1;60000;0;percentage;60000;180000;BRL;2022-07-08 20:03:28
171;Negócio Pichilau Fatufácil & Gestão;won;Rateio;JONILDO;2022-07;1;;Consultoria;false;1;4500;0;percentage;4500;49600;BRL;2022-07-08 20:16:59
171;Negócio Pichilau Fatufácil & Gestão;won;Rateio;JONILDO;2022-07;2;;Entrada;false;1;45100;0;percentage;45100;49600;BRL;2022-07-08 20:17:14
1228;Edf. Central Park;open;Consultoria - Condo;IGOR;;6;LCV;LCV - Laudo de Carregamento Veicular;true;1;4500;0;percentage;4500;9600;BRL;2026-07-29 19:22:14
1228;Edf. Central Park;open;Consultoria - Condo;IGOR;;5;LDC;LDC - Laudo de Disponibilidade de Carga;true;1;5100;0;percentage;5100;9600;BRL;2026-07-29 19:22:14
1307;Edf Canárias;open;Consultoria - Condo;IGOR;;4;LIE;LIE - Laudo de Instalações Elétricas;true;1;7000;0;percentage;7000;7000;BRL;2026-07-15 19:06:52
1333;Edf. Torre de Lyon;open;Consultoria - Condo;IGOR;;5;LDC;LDC - Laudo de Disponibilidade de Carga;true;1;11400;0;percentage;11400;11400;BRL;2026-07-15 19:06:35
1466;Edf Quinta das Baronesas;open;Consultoria - Condo;IGOR;;5;LDC;LDC - Laudo de Disponibilidade de Carga;true;1;8400;0;percentage;8400;8400;BRL;2026-07-15 19:06:15
1610;Edf NewHome Madalena;open;Consultoria - Condo;IGOR;;5;LDC;LDC - Laudo de Disponibilidade de Carga;true;1;9400;0;percentage;9400;10900;BRL;2026-07-15 13:27:53
1610;Edf NewHome Madalena;open;Consultoria - Condo;IGOR;;6;LCV;LCV - Laudo de Carregamento Veicular;true;1;1500;0;percentage;1500;10900;BRL;2026-07-15 13:38:52
1615;EDF Saint Dominique;open;Consultoria - Condo;IGOR;;5;LDC;LDC - Laudo de Disponibilidade de Carga;true;1;8700;0;percentage;8700;8700;BRL;2026-07-15 19:09:14
1616;Edf Garagem Marquês do Herval;open;Consultoria - Condo;IGOR;;4;LIE;LIE - Laudo de Instalações Elétricas;true;1;6000;0;percentage;6000;6000;BRL;2026-07-15 19:00:37
