key;keyType;organization;cnpj;wonDeals;repeatDeals;totalRevenue;repeatRevenue;firstWonMonth;lastWonMonth;types
11419309000137;cnpj;Cond. João Heráclio;11419309000137;5;4;126200;110000;2025-02;2026-03;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular, PIE - Projeto infra.  Eletrocalha e Emergência, PROJETOS, OBRA"
10383770000114;cnpj;Edf Madalena Colonial;10383770000114;2;1;53300;45000;2025-10;2026-04;"LDC - Laudo de disponibilidade de carga, CDM"
10395888000162;cnpj;Edf Samsara;10395888000162;3;2;37500;32500;2025-09;2026-01;"LDC - Laudo de disponibilidade de carga, OBRA, PIE - Projeto infra.  Eletrocalha e Emergência"
14006221000181;cnpj;Enseada do Mar;14006221000181;3;2;35000;27500;2025-02;2026-04;"PIE - Projeto infra.  Eletrocalha e Emergência, PROJETOS, OBRA, Obras eletricas"
04239390000108;cnpj;Edf Terra Brasilis;04239390000108;4;3;37100;20100;2025-08;2026-03;"LDC - Laudo de disponibilidade de carga, PIE - Projeto infra.  Eletrocalha e Emergência, OBRA, ICV - Inspeção de carregador veicular"
11467141000135;cnpj;Edf Luar das Ubaias;11467141000135;2;1;30860;19700;2025-05;2025-12;"LDC - Laudo de disponibilidade de carga, PIE - Projeto infra.  Eletrocalha e Emergência, Obras eletricas"
15066354000106;cnpj;Edf Quinta Tereza Beltrão;15066354000106;2;1;25360;17800;2025-11;2026-03;"LDC - Laudo de disponibilidade de carga, OBRA, CDM"
11236467000151;cnpj;Edf Morada Rosarinho;11236467000151;3;2;22750;17750;2025-05;2026-02;"LDC - Laudo de disponibilidade de carga, LIE - Laudo de Instalações Elétricas, PROJETOS, OBRA"
10528059000100;cnpj;Edf Quinta do Algarve;10528059000100;2;1;21800;17000;2025-09;2026-01;"LDC - Laudo de disponibilidade de carga, OBRA"
04113342000179;cnpj;Edf Turmalina;04113342000179;2;1;16000;8000;2025-08;2026-04;"LDC - Laudo de disponibilidade de carga, PROJETOS"
03034724000144;cnpj;Edf Porto dos Corais;03034724000144;2;1;11000;6500;2025-11;2026-02;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga"
17570372000156;cnpj;Condominio do Edificio Lucilo Maranhao;17570372000156;2;1;13500;6000;2026-03;2026-05;"LDC - Laudo de disponibilidade de carga, PIE - Projeto infra.  Eletrocalha e Emergência"
02072321000127;cnpj;Edf Carla Dias;02072321000127;2;1;10000;5000;2025-07;2025-12;"LDC - Laudo de disponibilidade de carga, PROJETOS"
24565913000113;cnpj;Edf Morada Ilha Verde;24565913000113;2;1;13000;5000;2025-07;2026-03;"LDC - Laudo de disponibilidade de carga, PIE - Projeto infra.  Eletrocalha e Emergência"
04107259000197;cnpj;Edf MIllennium;04107259000197;2;1;12000;5000;2025-07;2025-09;"LDC - Laudo de disponibilidade de carga, PROJETOS"
35466861000144;cnpj;Edf Sobrado do Capibaribe;35466861000144;2;1;16000;5000;2025-11;2026-03;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga, PROJETOS"
20635205000150;cnpj;Cond Saint Eduardo;20635205000150;2;1;11200;4200;2025-06;2026-04;"LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular"
13537008000133;cnpj;Edf Luis dias lins;13537008000133;2;1;13500;4000;2025-08;2025-09;"LDC - Laudo de disponibilidade de carga, PIE - Projeto infra.  Eletrocalha e Emergência"
05044739000119;cnpj;Edf Walter Turton;05044739000119;2;1;9000;3000;2025-11;2025-12;"LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular"
03521109000162;cnpj;Cond. The Plaza;03521109000162;2;1;12700;2700;2025-08;2026-06;"LIE - Laudo de Instalações Elétricas, LDC - Laudo de disponibilidade de carga"
05295147000170;cnpj;Edf Cristiano;05295147000170;2;1;6600;2600;2025-07;2025-09;LDC - Laudo de disponibilidade de carga
24134330000138;cnpj;Edf Villa das Pedras;24134330000138;2;1;7400;2400;2025-06;2025-07;"LDC - Laudo de disponibilidade de carga, LIE - Laudo de Instalações Elétricas"
04022882000147;cnpj;Edificio Principe de Toscana;04022882000147;2;1;6000;2000;2025-08;2025-10;LDC - Laudo de disponibilidade de carga
15055733000109;cnpj;Edf Praça do Mar;15055733000109;2;1;7600;1600;2025-04;2025-08;"LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular"
08888803000136;cnpj;condomínio Residencial Estrela;08888803000136;2;1;9600;1300;2025-08;2025-08;"LDC - Laudo de disponibilidade de carga, ICV - Inspeção de carregador veicular"
