month;postSalesDealsByCnpj;postSalesRevenueByCnpj;repeatDealsByAccount;repeatRevenueByAccount;wonDeals;wonRevenue;repeatShareByAccountPct
2025-01;0;0;0;0;3;18400;0
2025-02;1;7500;1;7500;3;37500;33.33333333333333
2025-03;0;0;0;0;1;10500;0
2025-04;2;24800;2;24800;6;75800;33.33333333333333
2025-05;0;0;0;0;7;64160;0
2025-06;1;5000;2;10500;12;77000;16.666666666666664
2025-07;1;2400;2;12940;10;69640;20
2025-08;3;14400;3;14400;14;105200;21.428571428571427
2025-09;3;11600;3;11600;11;82313.98;27.27272727272727
2025-10;2;15000;3;35000;10;112150;30
2025-11;2;18700;2;18700;13;99460;15.384615384615385
2025-12;3;27700;5;80789.29000000001;11;138289.29;45.45454545454545
2026-01;4;54500;6;117331.72;14;180131.72;42.857142857142854
2026-02;3;26250;5;132750;15;198165;33.33333333333333
2026-03;6;121200;6;121200;17;210700;35.294117647058826
2026-04;4;63700;4;63700;17;167350;23.52941176470588
2026-05;1;6000;2;11000;13;118300;15.384615384615385
2026-06;1;2700;2;11900;4;20650;50
